party1,party2,begin_datetime,end_datetime,avg_distance
114,38,2020-07-09 17:53:32,2020-07-09 19:39:44,0.31448
99,83,2021-08-28 21:52:18,2021-08-28 22:19:11,4.99723
18,119,2021-01-23 13:36:13,2021-01-23 14:00:07,3.23594
53,54,2021-04-04 02:09:41,2021-04-04 03:49:37,2.13471
48,37,2021-01-09 07:33:11,2021-01-09 10:04:24,4.50427
60,9,2020-07-31 00:34:54,2020-07-31 03:04:09,5.26337
26,1,2021-01-31 11:49:35,2021-01-31 13:54:30,4.21407
65,77,2021-03-11 17:49:44,2021-03-11 20:04:48,0.60106
37,104,2021-05-09 09:52:04,2021-05-09 11:28:57,3.25871
1,72,2021-06-22 21:35:08,2021-06-22 22:34:35,8.45716
39,29,2021-07-13 09:55:35,2021-07-13 12:09:14,9.36842
17,24,2021-09-05 18:21:21,2021-09-05 20:42:16,7.04650
57,37,2021-03-20 10:18:30,2021-03-20 11:04:29,3.06681
107,17,2020-12-09 20:37:47,2020-12-09 23:10:08,1.85587
63,64,2020-11-11 21:46:34,2020-11-11 22:16:48,3.75821
80,44,2021-05-24 09:39:30,2021-05-24 12:10:27,8.21280
79,8,2021-08-31 16:32:13,2021-08-31 17:41:37,1.63486
53,25,2021-06-03 21:35:18,2021-06-03 23:57:08,9.80149
49,89,2020-07-27 10:53:11,2020-07-27 11:03:07,7.68236
113,82,2021-03-19 04:48:11,2021-03-19 06:03:45,2.56260
10,51,2021-08-20 23:08:45,2021-08-21 00:09:49,8.35389
109,116,2020-06-23 03:01:36,2020-06-23 04:22:49,8.16153
6,57,2020-12-01 03:01:46,2020-12-01 03:16:26,6.39108
6,9,2020-08-30 05:54:45,2020-08-30 07:08:07,7.24717
3,93,2020-09-10 02:18:29,2020-09-10 04:42:59,5.60346
59,104,2021-04-24 03:10:52,2021-04-24 04:34:38,2.58548
57,101,2021-06-09 06:11:15,2021-06-09 07:40:34,2.34866
112,124,2020-12-27 13:52:33,2020-12-27 14:24:09,0.56125
18,90,2021-01-13 10:12:44,2021-01-13 12:55:38,4.88319
20,70,2021-09-20 15:15:27,2021-09-20 17:37:24,5.65444
120,41,2020-07-31 23:05:20,2020-08-01 00:03:51,6.83435
113,68,2020-08-03 14:46:02,2020-08-03 16:58:02,3.96456
46,117,2021-02-18 16:20:05,2021-02-18 16:41:22,5.84608
97,74,2020-10-21 01:18:30,2020-10-21 03:41:59,9.11087
78,44,2021-05-15 13:17:58,2021-05-15 13:39:24,4.04569
65,98,2020-10-07 17:48:07,2020-10-07 18:31:26,4.66594
38,104,2020-09-13 11:01:22,2020-09-13 13:09:59,2.58008
37,55,2020-06-22 23:54:19,2020-06-23 01:10:55,3.97999
10,106,2021-10-09 20:59:02,2021-10-09 21:35:20,3.77798
41,65,2020-10-03 16:14:42,2020-10-03 18:35:43,5.50203
96,76,2021-08-08 20:36:25,2021-08-08 21:56:08,2.30404
18,123,2020-09-11 01:41:19,2020-09-11 04:05:07,8.24397
60,38,2021-09-17 00:46:10,2021-09-17 01:49:31,3.99817
109,11,2020-05-08 21:54:02,2020-05-08 21:58:43,7.78636
107,36,2021-02-27 16:28:34,2021-02-27 17:33:49,8.64616
11,99,2021-09-29 14:08:50,2021-09-29 14:59:18,2.46019
101,116,2021-06-04 00:27:31,2021-06-04 01:20:50,7.73677
81,14,2020-10-04 15:36:15,2020-10-04 15:48:26,3.30169
62,46,2021-09-22 18:54:56,2021-09-22 19:14:40,7.22183
106,17,2020-10-21 05:51:19,2020-10-21 06:02:32,9.67244
26,41,2020-10-18 13:33:08,2020-10-18 15:24:37,3.13747
92,55,2021-11-17 03:45:54,2021-11-17 05:09:53,8.29682
5,104,2021-11-08 12:03:27,2021-11-08 13:32:50,1.41115
12,46,2021-01-19 00:27:39,2021-01-19 01:08:09,7.37554
81,21,2020-09-30 08:47:49,2020-09-30 09:52:27,6.83023
95,45,2020-05-12 22:57:37,2020-05-13 01:15:24,7.29576
121,11,2021-09-26 17:58:23,2021-09-26 19:52:28,3.77790
71,58,2021-02-28 17:36:42,2021-02-28 19:57:00,8.79567
56,105,2021-06-18 15:30:59,2021-06-18 18:11:25,3.78960
67,96,2020-08-19 05:10:31,2020-08-19 06:51:57,4.15403
105,63,2021-07-17 15:58:28,2021-07-17 17:49:48,1.84016
40,2,2020-06-18 07:21:18,2020-06-18 09:05:18,6.87423
1,120,2021-11-07 06:41:44,2021-11-07 07:42:50,4.50221
118,90,2020-09-02 06:17:50,2020-09-02 07:35:45,0.97204
42,28,2020-06-13 10:36:40,2020-06-13 10:45:05,1.02703
20,45,2020-10-09 11:59:46,2020-10-09 13:24:49,0.79882
1,114,2020-09-03 11:05:22,2020-09-03 11:09:04,5.28589
95,38,2021-06-14 00:15:50,2021-06-14 02:24:18,8.18777
87,56,2020-11-20 14:29:11,2020-11-20 15:44:45,9.00730
95,5,2021-01-06 00:15:49,2021-01-06 02:53:19,7.98732
11,22,2021-10-09 17:39:06,2021-10-09 18:21:01,7.23434
108,48,2021-10-11 02:19:04,2021-10-11 02:41:29,0.05452
95,101,2020-05-18 01:18:13,2020-05-18 02:04:54,9.07075
98,70,2021-08-20 02:26:59,2021-08-20 04:23:39,7.37814
30,66,2020-08-15 04:33:22,2020-08-15 06:43:30,0.89631
36,71,2021-11-20 20:30:00,2021-11-20 20:49:35,8.29924
122,9,2021-04-02 08:04:34,2021-04-02 08:30:57,5.76412
2,21,2021-08-02 17:32:53,2021-08-02 18:22:26,6.13664
5,24,2020-05-14 18:47:09,2020-05-14 20:14:37,0.46661
70,89,2021-06-21 16:11:29,2021-06-21 18:04:22,3.48167
66,47,2021-02-08 06:56:07,2021-02-08 08:40:23,4.32175
120,32,2021-07-22 18:40:15,2021-07-22 19:32:44,0.03524
105,93,2021-06-15 19:25:01,2021-06-15 21:57:41,0.16547
88,85,2021-06-16 01:03:26,2021-06-16 01:52:25,4.21948
40,63,2020-05-07 21:10:03,2020-05-07 22:15:07,9.04636
44,99,2020-10-08 03:20:15,2020-10-08 04:12:22,6.91113
70,37,2021-02-14 14:57:07,2021-02-14 16:04:54,0.11724
25,37,2021-02-12 00:26:39,2021-02-12 00:48:22,4.34705
121,22,2020-09-30 13:39:45,2020-09-30 14:19:39,3.35129
1,54,2021-02-21 01:38:06,2021-02-21 03:54:00,3.32117
125,10,2021-09-21 02:08:10,2021-09-21 02:20:55,3.00530
68,2,2021-10-21 09:31:05,2021-10-21 11:28:29,1.68888
99,107,2021-04-04 17:39:32,2021-04-04 20:13:49,6.15113
46,82,2021-09-03 18:10:26,2021-09-03 20:30:27,7.54186
8,18,2021-03-11 03:45:28,2021-03-11 05:25:52,1.10330
97,106,2020-07-28 21:12:51,2020-07-28 22:24:54,7.69798
6,18,2020-05-09 18:32:03,2020-05-09 19:16:19,5.49115
110,89,2020-06-18 23:00:29,2020-06-18 23:54:16,1.47636
119,74,2021-09-29 14:56:21,2021-09-29 16:12:53,8.22680
24,48,2020-06-19 22:01:24,2020-06-19 23:03:07,6.41404
4,95,2020-11-12 06:21:43,2020-11-12 08:00:13,7.69616
14,5,2020-12-28 10:23:55,2020-12-28 12:14:44,4.70676
2,112,2020-06-05 22:05:28,2020-06-05 22:39:40,4.43722
47,89,2020-06-02 02:17:30,2020-06-02 04:31:25,2.71716
41,92,2020-07-20 12:25:04,2020-07-20 13:54:21,3.28572
9,23,2021-03-13 05:10:27,2021-03-13 06:15:17,1.42022
118,62,2021-08-19 23:56:47,2021-08-20 00:15:11,2.19818
28,91,2021-03-06 17:13:37,2021-03-06 19:03:18,6.87406
20,29,2020-08-11 03:14:30,2020-08-11 04:51:38,8.46282
79,122,2021-02-16 03:18:48,2021-02-16 06:02:06,5.76880
29,39,2021-03-05 06:52:35,2021-03-05 09:37:26,3.54217
102,24,2020-08-30 04:50:12,2020-08-30 06:39:39,4.52818
89,94,2021-11-18 13:09:00,2021-11-18 15:09:25,8.67055
110,24,2021-10-25 20:27:56,2021-10-25 23:10:51,2.60927
83,13,2021-04-04 14:48:58,2021-04-04 16:39:45,4.52843
104,25,2020-12-30 22:05:14,2020-12-31 00:38:19,0.53506
50,32,2021-11-20 16:45:47,2021-11-20 18:14:16,3.68341
118,5,2020-12-16 06:02:24,2020-12-16 08:11:49,8.43647
41,15,2021-02-22 13:51:17,2021-02-22 14:24:30,0.23070
116,83,2020-09-25 12:01:35,2020-09-25 14:14:40,1.61243
13,81,2020-07-05 11:19:00,2020-07-05 13:33:05,9.79761
80,109,2021-07-19 03:53:50,2021-07-19 03:56:50,5.64057
96,23,2021-08-15 15:45:08,2021-08-15 17:09:29,7.30988
109,77,2021-11-20 02:26:36,2021-11-20 03:08:49,2.62468
105,74,2021-02-28 20:16:08,2021-02-28 20:27:39,0.55008
28,65,2021-10-05 15:48:44,2021-10-05 16:43:58,5.19592
91,62,2021-08-06 11:39:29,2021-08-06 12:01:49,1.06338
91,56,2020-09-26 04:56:56,2020-09-26 06:13:14,6.14641
106,16,2021-05-19 02:39:29,2021-05-19 03:36:27,0.11076
55,63,2021-11-11 16:39:40,2021-11-11 18:01:24,1.91526
13,11,2020-10-23 20:03:15,2020-10-23 20:22:33,4.68328
12,114,2021-02-05 12:21:52,2021-02-05 13:54:58,3.18279
20,102,2021-04-20 23:12:31,2021-04-21 00:58:30,3.56293
122,17,2021-10-08 08:29:49,2021-10-08 10:09:51,7.31503
67,50,2021-07-02 12:57:58,2021-07-02 13:53:04,2.03614
107,65,2021-04-28 17:53:35,2021-04-28 19:23:01,7.96909
48,9,2021-05-12 17:36:49,2021-05-12 18:11:42,9.35519
46,85,2020-08-29 21:29:24,2020-08-29 21:56:09,0.69446
96,16,2020-10-12 05:42:57,2020-10-12 08:13:58,0.55315
56,79,2021-03-14 10:44:49,2021-03-14 12:57:27,7.00774
17,19,2020-10-02 19:22:48,2020-10-02 20:17:45,2.78648
48,64,2021-10-04 02:44:28,2021-10-04 02:57:49,9.98406
85,33,2020-09-16 05:57:32,2020-09-16 06:28:35,0.33589
76,5,2021-01-23 05:19:54,2021-01-23 05:25:25,1.43429
69,75,2021-02-21 22:28:38,2021-02-22 00:54:17,8.77013
103,78,2021-09-07 11:02:23,2021-09-07 13:18:16,7.03453
47,99,2020-11-12 06:33:20,2020-11-12 08:13:27,5.06394
63,102,2021-07-01 05:45:11,2021-07-01 06:55:15,8.64214
83,68,2021-10-25 20:37:12,2021-10-25 22:40:05,0.31804
22,31,2021-03-31 14:29:50,2021-03-31 17:08:14,0.95763
38,23,2021-03-16 00:23:07,2021-03-16 00:44:13,3.94285
73,16,2021-06-28 12:11:56,2021-06-28 12:14:15,6.85358
70,81,2021-08-23 05:52:06,2021-08-23 07:05:24,6.00818
123,77,2021-05-20 02:19:01,2021-05-20 04:43:56,0.58107
114,65,2021-06-26 15:00:46,2021-06-26 17:35:27,2.71749
43,44,2021-06-27 16:30:42,2021-06-27 18:36:24,4.23441
87,3,2020-10-26 07:06:20,2020-10-26 07:28:35,2.97398
54,53,2020-05-26 13:17:09,2020-05-26 14:35:54,6.77487
123,48,2020-06-08 22:12:08,2020-06-08 23:46:39,8.45470
41,32,2020-07-29 05:23:13,2020-07-29 07:15:51,5.05843
90,49,2021-07-27 15:55:08,2021-07-27 16:50:46,7.69439
113,120,2021-06-07 14:44:23,2021-06-07 16:36:41,6.84741
38,52,2021-04-24 16:37:27,2021-04-24 16:44:30,1.38927
96,36,2021-09-22 06:05:19,2021-09-22 07:40:19,2.38157
24,117,2021-11-03 10:39:42,2021-11-03 12:36:30,7.60079
85,21,2020-09-28 19:37:55,2020-09-28 20:59:12,8.13282
41,115,2020-09-17 18:39:25,2020-09-17 20:55:28,4.79571
97,16,2021-10-02 06:51:31,2021-10-02 09:29:43,2.60669
54,69,2021-03-17 17:35:53,2021-03-17 18:49:11,7.34362
125,36,2020-09-15 03:19:11,2020-09-15 05:32:43,8.22007
61,86,2021-10-11 08:06:38,2021-10-11 09:32:37,6.47131
24,124,2020-12-23 09:23:35,2020-12-23 10:38:03,6.15257
71,85,2020-07-04 12:51:41,2020-07-04 13:02:50,4.15626
44,68,2020-07-16 05:45:11,2020-07-16 06:22:49,4.35326
15,29,2021-03-04 09:03:14,2021-03-04 11:34:30,8.73190
30,113,2021-02-06 00:21:00,2021-02-06 01:32:47,8.67519
3,42,2021-08-10 06:00:32,2021-08-10 07:04:45,7.26780
77,63,2021-11-12 07:15:04,2021-11-12 07:51:29,4.84971
44,89,2020-11-29 10:48:47,2020-11-29 11:27:35,0.36926
101,117,2021-09-05 15:36:56,2021-09-05 16:07:10,0.94583
117,77,2021-05-10 08:12:28,2021-05-10 08:13:26,1.82560
72,15,2020-08-17 08:11:38,2020-08-17 10:41:29,1.59191
79,68,2021-04-16 02:55:49,2021-04-16 04:50:45,5.11661
113,100,2021-03-23 05:02:49,2021-03-23 07:04:08,6.74210
19,15,2020-07-16 21:34:29,2020-07-16 23:37:25,5.02008
49,120,2020-06-07 06:47:55,2020-06-07 07:58:07,2.19141
28,40,2021-05-02 01:35:20,2021-05-02 02:39:31,6.13347
47,79,2021-07-18 02:25:53,2021-07-18 04:32:22,7.04961
68,107,2021-02-05 20:28:34,2021-02-05 21:39:56,2.16307
20,88,2021-09-09 14:10:38,2021-09-09 14:40:19,2.68037
38,1,2021-04-28 23:41:27,2021-04-29 00:21:56,5.12842
71,119,2021-09-27 02:17:51,2021-09-27 03:29:13,5.44649
65,39,2020-07-19 21:52:35,2020-07-19 21:55:46,2.29042
62,109,2020-07-14 01:58:55,2020-07-14 03:14:43,3.18930
120,62,2021-04-02 11:46:26,2021-04-02 12:10:06,0.43096
10,22,2020-11-17 01:15:28,2020-11-17 02:04:39,9.46229
63,23,2020-12-17 05:59:50,2020-12-17 06:37:48,7.15798
78,24,2021-03-09 17:21:56,2021-03-09 17:51:55,5.63124
70,73,2020-08-17 02:50:53,2020-08-17 05:32:40,6.63105
80,23,2021-05-23 13:00:06,2021-05-23 15:37:03,4.13876
26,118,2021-07-28 03:40:15,2021-07-28 05:36:52,3.08419
58,116,2020-11-06 21:37:32,2020-11-06 21:54:16,4.03059
63,64,2021-11-03 03:55:22,2021-11-03 05:46:54,9.31114
30,84,2021-07-15 05:37:55,2021-07-15 05:52:31,3.41706
1,17,2021-11-06 01:41:43,2021-11-06 03:10:00,5.64346
120,34,2020-09-22 03:42:56,2020-09-22 04:40:50,1.66607
75,26,2021-09-29 07:58:44,2021-09-29 10:40:27,4.15942
76,90,2021-02-10 23:11:55,2021-02-10 23:28:54,9.20316
50,104,2020-12-26 15:29:33,2020-12-26 17:30:31,9.10407
44,59,2020-08-30 02:30:31,2020-08-30 03:10:17,3.67595
2,35,2020-10-04 10:48:28,2020-10-04 11:22:50,1.39599
35,75,2020-05-27 22:26:27,2020-05-27 23:07:17,3.27769
78,41,2021-01-30 05:27:49,2021-01-30 08:03:46,8.70044
103,19,2020-10-11 03:02:50,2020-10-11 04:20:24,8.97293
93,46,2021-11-18 13:29:28,2021-11-18 15:11:54,0.49276
60,64,2020-12-01 22:29:48,2020-12-02 01:13:42,2.85258
70,81,2020-06-01 18:51:31,2020-06-01 21:20:09,2.23388
4,7,2021-08-29 16:08:02,2021-08-29 17:13:52,3.47585
34,85,2020-08-02 01:39:47,2020-08-02 02:34:22,1.57818
113,43,2020-10-03 07:06:17,2020-10-03 07:19:21,8.15428
1,24,2020-11-12 11:00:51,2020-11-12 11:29:55,2.57401
96,32,2021-08-03 06:18:50,2021-08-03 08:07:56,8.58692
69,32,2021-08-06 22:51:02,2021-08-07 01:35:22,5.24491
62,80,2021-01-25 22:26:53,2021-01-26 00:52:35,8.04369
6,36,2021-09-28 08:02:47,2021-09-28 10:00:28,9.74486
108,68,2021-10-07 00:36:49,2021-10-07 01:22:35,6.61703
45,88,2021-09-05 21:12:14,2021-09-05 23:31:21,8.00845
60,7,2020-10-25 19:10:40,2020-10-25 20:24:41,3.68857
16,66,2020-07-15 09:18:34,2020-07-15 11:28:33,7.85222
54,123,2020-05-10 08:57:29,2020-05-10 11:02:06,1.41336
123,3,2021-06-01 17:50:41,2021-06-01 20:19:25,8.82209
24,102,2021-02-23 04:42:55,2021-02-23 06:45:55,7.49383
60,39,2021-06-09 06:52:29,2021-06-09 07:59:07,0.92157
102,56,2021-03-03 05:16:56,2021-03-03 06:58:29,9.87341
43,118,2021-08-08 09:05:07,2021-08-08 10:43:43,9.76613
58,4,2020-11-11 22:52:56,2020-11-11 23:07:30,9.40688
59,2,2021-02-06 12:50:10,2021-02-06 13:29:15,7.92798
30,27,2020-07-29 15:20:10,2020-07-29 17:08:24,6.14313
26,113,2020-10-24 10:11:35,2020-10-24 10:59:46,7.53225
10,25,2021-08-16 02:13:49,2021-08-16 03:42:13,0.65081
68,87,2021-11-07 20:37:54,2021-11-07 21:07:43,3.32235
22,105,2021-06-15 18:23:28,2021-06-15 19:00:42,8.33455
92,17,2021-06-19 11:55:56,2021-06-19 12:52:06,8.29584
6,45,2020-08-23 17:28:12,2020-08-23 18:29:10,8.34324
35,119,2020-05-22 06:38:07,2020-05-22 08:31:06,8.18755
70,100,2020-09-29 05:07:09,2020-09-29 07:42:24,4.35718
97,85,2020-11-15 08:21:11,2020-11-15 08:23:53,0.93659
68,100,2021-09-01 23:53:23,2021-09-02 00:12:03,1.63816
69,16,2021-11-21 07:00:54,2021-11-21 08:39:15,0.76045
73,40,2021-07-12 16:37:45,2021-07-12 19:05:41,8.89841
113,66,2020-10-06 06:29:18,2020-10-06 08:41:20,0.18346
63,4,2020-07-25 22:48:36,2020-07-25 23:49:02,0.92310
2,51,2021-09-11 01:38:00,2021-09-11 02:11:07,3.03622
83,113,2021-10-20 05:47:01,2021-10-20 06:48:50,4.95024
99,94,2021-10-10 21:51:08,2021-10-10 22:14:16,5.26975
118,34,2021-08-28 23:51:09,2021-08-29 00:06:14,2.60621
47,125,2021-05-20 23:57:38,2021-05-21 00:21:55,7.57709
62,27,2020-07-12 03:24:12,2020-07-12 05:28:59,2.31964
57,9,2020-05-06 12:50:10,2020-05-06 14:06:08,7.59781
100,65,2021-09-18 20:55:02,2021-09-18 21:37:09,9.75268
84,111,2020-11-04 13:21:05,2020-11-04 14:52:09,6.07306
20,9,2021-08-14 11:24:58,2021-08-14 11:44:57,5.53032
125,103,2020-11-08 18:29:52,2020-11-08 20:12:35,1.07938
18,80,2021-07-06 17:34:16,2021-07-06 18:28:16,7.24443
119,59,2020-10-01 10:55:04,2020-10-01 12:12:51,8.89048
52,69,2020-05-31 22:12:46,2020-05-31 22:42:59,2.79128
98,50,2021-07-04 22:34:18,2021-07-05 00:11:04,5.30029
14,110,2021-11-10 03:15:50,2021-11-10 03:33:15,7.68505
110,47,2021-05-20 17:07:48,2021-05-20 18:51:00,1.77413
104,22,2021-08-17 18:41:52,2021-08-17 19:38:27,3.90544
119,8,2021-11-21 07:24:40,2021-11-21 10:00:22,5.43536
123,55,2020-12-25 09:44:31,2020-12-25 10:56:20,2.78141
9,113,2020-09-22 01:45:04,2020-09-22 03:09:42,1.17724
79,69,2021-05-17 21:37:55,2021-05-18 00:18:43,5.64330
43,41,2020-09-07 18:11:45,2020-09-07 20:57:50,3.52946
16,11,2021-04-17 05:36:02,2021-04-17 07:25:20,4.66868
51,52,2020-05-12 20:34:01,2020-05-12 21:04:55,3.58367
71,10,2020-05-23 13:25:38,2020-05-23 14:32:21,4.30126
84,14,2020-07-03 16:11:48,2020-07-03 16:38:56,7.84195
88,6,2021-06-17 20:15:54,2021-06-17 22:58:01,8.80070
109,43,2020-07-17 06:15:19,2020-07-17 07:40:08,0.74776
81,31,2020-10-22 13:18:36,2020-10-22 14:42:13,1.16998
77,15,2021-07-31 09:07:32,2021-07-31 09:13:59,3.39768
49,25,2020-06-01 12:30:46,2020-06-01 13:29:20,3.56428
14,77,2021-06-19 00:15:48,2021-06-19 02:30:36,8.94533
4,85,2021-08-21 04:11:49,2021-08-21 05:46:24,8.12269
61,95,2020-08-10 03:37:29,2020-08-10 05:33:59,6.53554
41,18,2021-02-18 03:10:28,2021-02-18 05:05:04,3.96029
18,87,2020-11-23 12:20:36,2020-11-23 13:05:44,2.40588
54,4,2021-09-06 12:31:38,2021-09-06 15:13:06,9.37544
90,122,2021-01-03 12:09:40,2021-01-03 13:02:33,2.98245
7,20,2021-06-11 20:36:58,2021-06-11 21:36:33,8.08631
53,98,2021-01-22 12:12:12,2021-01-22 12:49:06,6.70132
22,24,2021-01-24 04:42:24,2021-01-24 07:20:34,7.74507
114,2,2021-01-26 06:41:06,2021-01-26 08:27:15,7.48957
84,48,2021-09-24 22:39:23,2021-09-25 00:14:51,9.10865
100,89,2021-04-03 08:24:53,2021-04-03 08:41:46,5.15947
45,104,2021-02-01 07:16:35,2021-02-01 08:32:11,0.34006
103,33,2020-11-24 22:09:54,2020-11-24 23:38:17,9.76626
43,91,2021-05-25 18:29:43,2021-05-25 20:03:32,6.51358
67,41,2020-05-31 12:29:25,2020-05-31 12:48:22,8.38763
62,85,2021-09-16 23:40:11,2021-09-17 02:23:44,1.35384
53,5,2021-03-22 03:37:06,2021-03-22 05:06:52,9.56746
104,41,2020-11-22 01:45:37,2020-11-22 01:56:48,8.50761
29,30,2020-11-25 21:27:19,2020-11-25 22:41:11,1.30352
86,4,2020-11-02 18:14:22,2020-11-02 19:28:06,6.61354
102,43,2020-08-25 00:25:44,2020-08-25 02:25:02,0.97772
52,22,2020-11-24 07:10:04,2020-11-24 09:45:34,9.00838
82,51,2020-08-27 02:42:56,2020-08-27 03:42:43,3.89465
71,33,2020-10-29 12:35:51,2020-10-29 13:07:28,9.46452
16,58,2021-11-16 09:55:14,2021-11-16 09:58:42,2.60793
26,1,2020-07-16 08:57:24,2020-07-16 09:43:43,6.46424
39,33,2020-08-25 01:06:51,2020-08-25 03:11:24,0.95246
113,42,2021-10-20 22:37:40,2021-10-21 01:01:32,1.76029
64,78,2020-05-05 03:28:13,2020-05-05 05:08:04,8.42862
67,110,2020-06-02 15:06:26,2020-06-02 16:01:24,6.94119
29,40,2021-01-04 13:48:25,2021-01-04 15:27:56,2.74559
20,23,2021-11-24 22:00:05,2021-11-25 00:18:41,8.57485
97,67,2021-06-05 15:43:24,2021-06-05 16:16:04,2.32060
35,73,2020-05-13 06:40:14,2020-05-13 07:47:25,7.92703
35,23,2021-05-02 04:25:14,2021-05-02 04:47:06,5.66738
44,42,2021-02-04 19:47:38,2021-02-04 21:34:46,8.66550
38,82,2021-11-04 12:24:39,2021-11-04 12:47:06,8.29358
